
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 186 | valid ndcg@100: 0.4658 | best valid: 0.4700 | train ndcg@100: 0.7726
epoch 187 | valid ndcg@100: 0.4665 | best valid: 0.4700 | train ndcg@100: 0.7723
epoch 188 | valid ndcg@100: 0.4665 | best valid: 0.4700 | train ndcg@100: 0.7722
epoch 189 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7719
epoch 190 | valid ndcg@100: 0.4667 | best valid: 0.4700 | train ndcg@100: 0.7721
epoch 191 | valid ndcg@100: 0.4666 | best valid: 0.4700 | train ndcg@100: 0.7720
epoch 192 | valid ndcg@100: 0.4659 | best valid: 0.4700 | train ndcg@100: 0.7718
epoch 193 | valid ndcg@100: 0.4660 | best valid: 0.4700 | train ndcg@100: 0.7722
epoch 194 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7724
epoch 195 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7728
epoch 196 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7727
epoch 197 | valid ndcg@100: 0.4662 | best valid: 0.4700 | train ndcg@100: 0.7726
epoch 198 | valid ndcg@100: 0.4665 | best valid: 0.4700 | train ndcg@100: 0.7721
epoch 199 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7735
ndcg@100:	0.4744
recall@20:	0.3768
recall@50:	0.4375
# of items: 6807
# of users: 31360
